code,grade,domain,cluster,requirement,pdf_page
S-IC.3,High School — Statistics and Probability,Making Inferences and Justifying Conclusions,"Make inferences and justify conclusions from sample surveys, experiments, and observational studies","3. Recognize the purposes of and differences among sample surveys, experiments, and observational studies; explain how randomization relates to each.","P81, 82"
S-IC.4,High School — Statistics and Probability,Making Inferences and Justifying Conclusions,"Make inferences and justify conclusions from sample surveys, experiments, and observational studies",4. Use data from a sample survey to estimate a population mean or proportion; develop a margin of error through the use of simulation models for random sampling.,"P81, 82"
S-IC.5,High School — Statistics and Probability,Making Inferences and Justifying Conclusions,"Make inferences and justify conclusions from sample surveys, experiments, and observational studies",5. Use data from a randomized experiment to compare two treatments; use simulations to decide if differences between parameters are significant.,"P81, 82"
S-IC.6,High School — Statistics and Probability,Making Inferences and Justifying Conclusions,"Make inferences and justify conclusions from sample surveys, experiments, and observational studies",6. Evaluate reports based on data.,"P81, 82"
S-CP.1,High School — Statistics and Probability,Conditional Probability and the Rules of Probability,Understand independence and conditional probability and use them to interpret data,"1. Describe events as subsets of a sample space (the set of outcomes) using characteristics (or categories) of the outcomes, or as unions, intersections, or complements of other events (“or,” “and,” “not”).",P82
S-CP.2,High School — Statistics and Probability,Conditional Probability and the Rules of Probability,Understand independence and conditional probability and use them to interpret data,"2. Understand that two events A and B are independent if the probability of A and B occurring together is the product of their probabilities, and use this characterization to determine if they are independent.",P82
S-CP.3,High School — Statistics and Probability,Conditional Probability and the Rules of Probability,Understand independence and conditional probability and use them to interpret data,"3. Understand the conditional probability of A given B as P(A and B)/P(B), and interpret independence of A and B as saying that the conditional probability of A given B is the same as the probability of A, and the conditional probability of B given A is the same as the probability of B.",P82
S-CP.4,High School — Statistics and Probability,Conditional Probability and the Rules of Probability,Understand independence and conditional probability and use them to interpret data,4. Construct and interpret two-way frequency tables of data when two categories are associated with each object being classified. Use the two-way table as a sample space to decide if events are independent and to approximate conditional probabilities.,P82
S-CP.5,High School — Statistics and Probability,Conditional Probability and the Rules of Probability,Understand independence and conditional probability and use them to interpret data,5. Recognize and explain the concepts of conditional probability and independence in everyday language and everyday situations.,P82
S-CP.6,High School — Statistics and Probability,Conditional Probability and the Rules of Probability,Use the rules of probability to compute probabilities of compound events in a uniform probability model,"6. Find the conditional probability of A given B as the fraction of B’s outcomes that also belong to A, and interpret the answer in terms of the model.",P82
S-CP.7,High School — Statistics and Probability,Conditional Probability and the Rules of Probability,Use the rules of probability to compute probabilities of compound events in a uniform probability model,"7. Apply the Addition Rule, P(A or B) = P(A) + P(B) – P(A and B), and interpret the answer in terms of the model.",P82
S-CP.8,High School — Statistics and Probability,Conditional Probability and the Rules of Probability,Use the rules of probability to compute probabilities of compound events in a uniform probability model,"8. (+) Apply the general Multiplication Rule in a uniform probability model, P(A and B) = P(A)P(B|A) = P(B)P(A|B), and interpret the answer in terms of the model.",P82
S-CP.9,High School — Statistics and Probability,Conditional Probability and the Rules of Probability,Use the rules of probability to compute probabilities of compound events in a uniform probability model,9. (+) Use permutations and combinations to compute probabilities of compound events and solve problems.,P82
S-MD.1,High School — Statistics and Probability,Using Probability to Make Decisions,Calculate expected values and use them to solve problems,1. (+) Define a random variable for a quantity of interest by assigning a numerical value to each event in a sample space; graph the corresponding probability distribution using the same graphical displays as for data distributions.,"P82, 83"
S-MD.2,High School — Statistics and Probability,Using Probability to Make Decisions,Calculate expected values and use them to solve problems,2. (+) Calculate the expected value of a random variable; interpret it as the mean of the probability distribution.,"P82, 83"
S-MD.3,High School — Statistics and Probability,Using Probability to Make Decisions,Calculate expected values and use them to solve problems,3. (+) Develop a probability distribution for a random variable defined for a sample space in which theoretical probabilities can be calculated; find the expected value.,"P82, 83"
S-MD.4,High School — Statistics and Probability,Using Probability to Make Decisions,Calculate expected values and use them to solve problems,4. (+) Develop a probability distribution for a random variable defined for a sample space in which probabilities are assigned empirically; find the expected value.,"P82, 83"
S-MD.5,High School — Statistics and Probability,Using Probability to Make Decisions,Use probability to evaluate outcomes of decisions,5. (+) Weigh the possible outcomes of a decision by assigning probabilities to payoff values and finding expected values. a. Find the expected payoff for a game of chance. b. Evaluate and compare strategies on the basis of expected values.,P83
S-MD.6,High School — Statistics and Probability,Using Probability to Make Decisions,Use probability to evaluate outcomes of decisions,6. (+) Use probabilities to make fair decisions.,P83
S-MD.7,High School — Statistics and Probability,Using Probability to Make Decisions,Use probability to evaluate outcomes of decisions,7. (+) Analyze decisions and strategies using probability concepts.,P83
